YAHOO_TICKER,name
ABX.TO,Barrick Gold Corporation
AEM.TO,Agnico Eagle Mines Limited
AQN.TO,Algonquin Power & Utilties Corp
ATD.TO,Alimentation Couche-Tard Inc.
BAM.TO,Brookfield Asset Management Inc.
BCE.TO,BCE Inc.
BIP-UN.TO,Brookfield Infrastructure Partners LP
BMO.TO,Bank of Montreal
BN.TO,Brookfield Corp
BNS.TO,Bank of Nova Scotia
CAE.TO,CAE Inc
CAR-UN.TO,Canadian Apartment Properties REIT
CCL-B.TO,CCL Industries Inc.
CCO.TO,Cameco Corporation
CM.TO,Canadian Imperial Bank of Commerce
CNQ.TO,Canadian Natural Resources Limited
CNR.TO,Canadian National Railway Company
CP.TO,Canadian Pacific Railway Limited
CSU.TO,Constellation Software Inc.
CTC-A.TO,"Canadian Tire Corporation, Limited"
CVE.TO,Cenovus Energy Inc.
DOL.TO,Dollarama Inc.
EMA.TO,Emera Incorporated
ENB.TO,Enbridge Inc.
FM.TO,First Quantum Minerals Ltd.
FNV.TO,Franco-Nevada Corporation
FSV.TO,FirstService Corp
FTS.TO,Fortis Inc.
GIB-A.TO,CGI Group Inc.
GIL.TO,Gildan Activewear Inc.
H.TO,Hydro One Ltd
IFC.TO,Intact Financial Corp
IMO.TO,Imperial Oil Limited
K.TO,Kinross Gold Corporation
L.TO,Loblaw Companies Limited
MFC.TO,Manulife Financial Corporation
MG.TO,Magna International Inc.
MRU.TO,Metro Inc.
NA.TO,National Bank of Canada
NTR.TO,Nutrien Inc.
OTEX.TO,Open Text Corporation
POW.TO,Power Corporation of Canada
PPL.TO,Pembina Pipeline Corporation
QSR.TO,Restaurant Brands International Inc.
RCI-B.TO,Rogers Communications Inc.
RY.TO,Royal Bank of Canada
SAP.TO,Saputo Inc.
SHOP.TO,Shopify Inc
SLF.TO,Sun Life Financial Inc.
SU.TO,Suncor Energy Inc.
T.TO,Telus Corporation
TD.TO,Toronto-Dominion Bank
TECK-B.TO,Teck Resources Limited
TOU.TO,Tourmaline Oil Corp
TRI.TO,Thomson Reuters Corporation
TRP.TO,TransCanada Corporation
WCN.TO,Waste Connections US Inc.
WN.TO,George Weston Limited
WPM.TO,Wheaton Precious Metals Corporation
WSP.TO,WSP Global Inc
